@RELATION synthetic0

@ATTRIBUTE Attr0 NUMERIC
@ATTRIBUTE Attr1 NUMERIC
@ATTRIBUTE Attr2 NUMERIC
@ATTRIBUTE Attr3 NUMERIC
@ATTRIBUTE Attr4 NUMERIC
@ATTRIBUTE Attr5 NUMERIC
@ATTRIBUTE Attr6 NUMERIC
@ATTRIBUTE Attr7 NUMERIC
@ATTRIBUTE Attr8 NUMERIC
@ATTRIBUTE Attr9 NUMERIC
@ATTRIBUTE Class0 {0, 1}
@ATTRIBUTE Class1 {0, 1}
@ATTRIBUTE Class2 {0, 1}
@ATTRIBUTE Class3 {0, 1}
@ATTRIBUTE Class4 {0, 1}

@DATA
0.630404863922854,0.909584035589024,0.294057032004037,0.506483627326235,0.115967088032658,0.770535880079178,0.65989270869342,0.156746890569846,0.378202045321055,0.139762682903751,0,0,0,0,1
0.161043323371702,0.178054846637175,0.540397064783796,0.9738340099187,0.245426553581296,0.394520906294222,0.723371646215803,0.432006879893539,0.233155794751333,0.889908751655377,0,1,1,0,0
0.843675181920867,0.43643464830071,0.991882110423993,0.58624839759354,0.962214815717004,0.26515529117956,0.362896002282944,0.87842883666769,0.290732196617312,0.0514483675976928,0,0,0,0,1
0.509387033040393,0.654315674557557,0.707768179205989,0.265903161462401,0.706858334750679,0.590869799675351,0.607335078960756,0.525791392818481,0.258992106825827,0.28086885332965,0,1,0,1,0
0.603983687683567,0.849640807014276,0.353823282770475,0.598632488274657,0.292093411356254,0.876442653324483,0.643711680829708,0.423232728866289,0.375808208743059,0.271293325174716,0,1,0,0,0
0.417635400841109,0.86049726109316,0.196689400910775,0.754646245261067,0.157630613807637,0.042178683951724,0.378622875360609,0.786609245781808,0.712752167766094,0.110273611509249,0,0,1,0,1
0.656749997056635,0.649900937916077,0.17086080569371,0.719075685346804,0.777950272380208,0.376426323060411,0.392470474895108,0.416514512553677,0.0450042373281142,0.239106436327471,1,0,0,1,0
0.051575353573699,0.0993212948031195,0.679807335620714,0.303367144759031,0.0653970211288691,0.93803050123258,0.266416707327399,0.979576230490703,0.153548012795356,0.930341367092405,1,0,0,0,1
0.885284056808837,0.189166828185201,0.228135502259469,0.16759999599956,0.594631132987114,0.80988982898386,0.514929140848558,0.348981387721556,0.0530934642558881,0.606190204203367,0,0,0,0,1
0.107704363187766,0.766032769243918,0.549692528786553,0.522259246501281,0.315315016281363,0.746923177052498,0.636325888343772,0.958808055015897,0.129677588903826,0.023598618121072,0,1,0,0,1
0.698689115550698,0.658111680384223,0.826413059839166,0.298165391631309,0.851921816260906,0.360673881491761,0.46700567185342,0.903370119788994,0.0602295062382698,0.5670332023035,0,0,1,1,0
0.238113491289989,0.453188192034624,0.48108778223293,0.0657483854104561,0.108823399634927,0.893238287127549,0.864376433147161,0.798918152249723,0.349780606732085,0.198486443474068,1,0,0,0,0
0.533050453811296,0.26773494080454,0.991910554732477,0.244739019191229,0.372213675331516,0.519110868994151,0.811278171935318,0.345939086873415,0.114957280134739,0.793488947678953,0,1,0,0,1
0.362929945548084,0.782105891867925,0.51262870977986,0.305718639967472,0.471544487542888,0.346168796084554,0.0341800249111149,0.108810723838218,0.343642512004368,0.0261420987873673,0,0,0,0,1
0.420145191640389,0.876457913502973,0.775616804513853,0.0434350420709225,0.279123655015769,0.776811019625388,0.195113676408094,0.362093674089707,0.137418991435016,0.306950990429325,1,0,0,0,1
0.177653766752107,0.226763607273291,0.252471514627246,0.279197268427025,0.447855430059946,0.662596083339383,0.400732383406107,0.857625826404511,0.91837698631195,0.621605416216179,1,0,0,0,1
0.750461474064932,0.360955830623908,0.642504404213629,0.196371178945713,0.475539764943879,0.572310637816023,0.284694193477391,0.404872353718519,0.309897917215856,0.357749481998052,1,0,0,0,1
